創業六十余年の中華の老舗 信忠閣 SHIN CHU KAKU,address exception occurred,mobile number exception occurred, 
モルノダ MOLNODA,"2 Chome-12-5 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan",mobile number exception occurred, 
スープカリー ばぐばぐ 名古屋錦店 Soup Curry Bagbag Nagoyanishiki,"3 Chome-3-30 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan",mobile number exception occurred, 
スシロー 名古屋新栄店 Sushiro NAGOYA SHINSAKAE,"1 Chome-39-5 Shinsakae, Naka Ward, Nagoya, Aichi 460-0007, Japan",mobile number exception occurred, 
吉野家 久屋大通錦店 Yoshinoya HISAYAODORI NISHIKI,"3 Chome-6-15 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan",mobile number exception occurred, 
蕎麦cafeダイニングイベリスside Soba cafe iberis side,"1 Chome-4-28 Shinsakae, Naka Ward, Nagoya, Aichi 460-0007, Japan",mobile number exception occurred, 
オムライス 元町レンガ亭 栄店 Motomachi Rengatei SAKAE,address exception occurred,mobile number exception occurred, 
大衆酒蔵 庄や 【鮮魚/焼鳥/煮込/海鮮丼/定食】 錦店 Syoya Nishiki,address exception occurred,mobile number exception occurred, 
エボ イート E.V.O ＋ EAT,address exception occurred,mobile number exception occurred, 
天府 四川料理 TenFu,address exception occurred,mobile number exception occurred, 
サラダ・ボウル SALAD BOWL,address exception occurred,mobile number exception occurred, 
ジャムズタコス jam's TACOS,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 4 Chome−7−17 ひまわり 2F",mobile number exception occurred, 
チーズマリノ 栄店 cheese marino sakae,"3 Chome-13-23 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
大連飯店 DA LIAN RESTAURANT,address exception occurred,mobile number exception occurred, 
牛たん仙台なとり 名古屋栄地下店 Gyutan Sendai Natori NAGOYA SAKAECHIKA,"3 Chome-4-6 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
サーティワン アイスクリーム 栄オアシス２１店 31 IceCream Sakae Oasis21,"１１番１号, 1 Chome-11 Higashisakura, Higashi Ward, Nagoya, Aichi 461-0005, Japan",+81 52-963-0141, 
オッソブラジル OSSO BRASIL,"3 Chome-41-13 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
にぎりの徳兵衛 オアシス21店 Nigiri-no-Tokube Oasis21,"1 Chome-11-1 Higashisakura, Higashi Ward, Nagoya, Aichi 461-0005, Japan",mobile number exception occurred, 
ウォンシャチキン＆キンパ天国～원샷 치킨～ wonsyas chikin,address exception occurred,mobile number exception occurred, 
ケンタッキーフライドチキン 金城店 Kentucky Fried Chicken Kinjo,"4 Chome-1-21 Kinjo, Kita Ward, Nagoya, Aichi 462-0847, Japan",mobile number exception occurred, 
マクドナルド 栄オアシス２１店 McDonald's SAKAEOASHISUNIICHITENN,"1 Chome-11-1 Higashisakura, Higashi Ward, Nagoya, Aichi 461-0005, Japan",+81 52-959-3890, 
すき家 ｾﾝﾄﾗﾙﾊﾟｰｸ店 Sukiya Central Park,"Japan, 〒460-0003 Aichi, Nagoya, Naka Ward, Nishiki, 3 Chome−15−13 セントラルパーク地下街内",mobile number exception occurred, 
天ぷら 新次郎 久屋大通,"Japan, 〒460-0003 Aichi, Nagoya, Naka Ward, Nishiki, ６−6, ３丁目６−１５ たての街ビル 10Ｆ",mobile number exception occurred, 
すき家 名古屋志賀本通店 Sukiya Nagoya Shiga Hontori,"2 Chome-2 Shigahondori, Kita Ward, Nagoya, Aichi 462-0853, Japan",mobile number exception occurred, 
吉野家 丸田町店 Yoshinoya MARUTAMACHI,"5 Chome-25-28 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
デニーズ 高岳 Denny's TAKAOKA,"2 Chome-27-19 Izumi, Higashi Ward, Nagoya, Aichi 461-0001, Japan",mobile number exception occurred, 
大戸屋ごはん処 ポーラ名古屋ビル店 Ootoya Pola Nagoya Building,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 2 Chome−9−26 ポーラ名古屋ビル B1F",mobile number exception occurred, 
本格韓国料理 ポチャ~POCHA~ 矢場店,"1 Chome-26-7 Shinsakae, Naka Ward, Nagoya, Aichi 460-0007, Japan",+81 52-241-0223, 
ザ カップス THE CUPS,address exception occurred,mobile number exception occurred, 
ちゃんぽん亭 新栄店 chanponteisohonke shinsakaeten,"名古屋市中区新栄1丁目1-31 キング観光サウザンド栄東新町店, 1, Naka Ward, Nagoya, Aichi 460-0007, Japan",+81 52-253-5910, 
世界の山ちゃん 長者町店 Sekaino Yamachan Chojamachi,"2 Chome-6-23 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan",mobile number exception occurred, 
とんかつ しゃぶしゃぶ【味の いとう】 Tonkatsu Shabushabu 【Azino Itou】,"1 Chome-13-3 Higashisakura, Higashi Ward, Nagoya, Aichi 461-0005, Japan",+81 52-952-8552, 
横浜家系ラーメン丸岡商店東新町店 maruokasho-tentoshin-cho,address exception occurred,mobile number exception occurred, 
バナナジュース専門店「そんなバナナ」,"2 Chome-15-5 Hatchobori, Chuo City, Tokyo 104-0032, Japan",mobile number exception occurred, 
どんぶり専門 丼丼亭 名古屋セントラルパーク,"3 Chome-15-13 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan",+81 52-951-0700, 
カレーハウス CoCo壱番屋 中区広小路本町店 Curry House CoCo Ichibanya Nakaku Hirokoji Honcho,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 2 Chome−4−11 チサンマンション広小路 １Ｆ",+81 52-218-5512, 
ハラル インドネシア レストラン ブラン バリ HALAL Indonesia Restaurant Bulan Bali,address exception occurred,mobile number exception occurred, 
スターバックス コーヒー ベストウェスタンホテル名古屋栄4丁目店 Starbucks Coffee Best Western Hotel NAGOYA Sakae 4-chome,"ベストウェスタンホテル名古屋, 4 Chome-6-1 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",+81 52-251-7773, 
究極のブロッコリーと鶏胸肉 名古屋店 The ultimate broccoli & chicken breast Nagoya,address exception occurred,mobile number exception occurred, 
街かど屋 東桜店,"1 Chome-3-2 Higashisakura, Higashi Ward, Nagoya, Aichi 461-0005, Japan",mobile number exception occurred, 
クリスピーチキンアンドトマト 名古屋北店 CRISPY CHICKEN n' TOMATO Nagoya Kita,"2 Chome-20-31 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
浪花ひとくち餃子 餃々 名古屋伏見店 ChaoChao Nagoya-Fushimi,"2 Chome-2-6 Sakae, Naka Ward, 名古屋市中区 Aichi 460-0008, Japan",mobile number exception occurred, 
ヤミー 名古屋PARCO店 Yummy Nagoya PARCO,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 3 Chome−29−1 名古屋パルコ 7F",+81 52-684-8832, 
ローソン 西区西ハサバ,"Nishihasaba-595-21 Tabatacho, Nishi Ward, Nagoya, Aichi 451-0026, Japan",mobile number exception occurred, 
中華料理 庄稼院 Chinese Restaurant Sho-Kainn,address exception occurred,mobile number exception occurred, 
小茶堂 Shochado,address exception occurred,mobile number exception occurred, 
辰杏珠 大須店 Sin an ju Osu,"Japan, 〒460-0011 Aichi, Nagoya, Naka Ward, Osu, 3 Chome−10−35 MultinaBox 1F",+81 52-265-7807, 
ふわとろオムライス専門店 エッグキッチン 栄店 Egg Kitchen SAKAE,address exception occurred,mobile number exception occurred, 
悪魔のチキンと魔女のキンパ,address exception occurred,mobile number exception occurred, 
磯丸水産 栄3丁目店 Isomaru Suisan Sakae 3Chome,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, １４14, 栄三丁目14-30 エフジー伊勢町南ビル1F",mobile number exception occurred, 
イタリアバルポンテ Italia Bar Ponte,"Japan, 〒460-0003 Aichi, Nagoya, Naka Ward, Nishiki, 3 Chome−11−26 1F",mobile number exception occurred, 
ウルフギャング・パック グルメエキスプレス 愛知 栄店 Wolfgang Puck Gourmet Express Aichi Sakae,"Japan, 〒461-8525 Aichi, Nagoya, Higashi Ward, Higashisakura, 1 Chome−13−2 愛知芸術文化センター10-11F",mobile number exception occurred, 
クリスピーチキンアンドトマト 大須観音店 CRISPY CHICKEN n' TOMATO Osu Kannon,"2 Chome-20-31 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
松屋 大津通錦店 Matsuya Otsudori Nishiki,"3 Chome-7-10 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan",mobile number exception occurred, 
Mega Kebab 大須3号店 Halal ハラール MEGA KEBAB OSU3GOUTEN,"3 Chome-30-35 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
茶千歳 栄店 Chasensai Sakaeten,"4 Chome-17-26 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
パスタ・デ・ココ 中区丸の内一丁目 PASTA DE COCO Nakaku Marunouchi 1chome,"1 Chome-3-4 Marunouchi, Naka Ward, Nagoya, Aichi 460-0002, Japan",mobile number exception occurred, 
CHA NUNG(チャノン)名古屋パルコ店,"名古屋PARCO 西館, 7F, 3 Chome-29-1 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",+81 52-228-7444, 
ザ カップス サカエ THE CUPS SAKAE,"3 Chome-35-22 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
かつや 名古屋名駅 Katsuya Nagoya Meieki,"Japan, 〒450-0002 Aichi, Nagoya, Nakamura Ward, Meieki, 4 Chome−22−17 中央ビル 1F",mobile number exception occurred, 
ハワイアンダイニング＆カフェ ポケット Hawaiian Dining & Cafe Poket,address exception occurred,mobile number exception occurred, 
クリスピーチキンアンドトマト 名古屋浄心店 CRISPY CHICKEN n' TOMATO Nagoya Jyoshin,"Japan, 〒451-0062 Aichi, Nagoya, Nishi Ward, Hananoki, 3 Chome−18−7 トライアングルビル 1F",mobile number exception occurred, 
エッグスンシングス 名古屋PARCO店 Eggs 'n Things Nagoya PARCO,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 3 Chome−29−11 1・2階 名古屋PARCO midi",mobile number exception occurred, 
金のとりから 大須観音前店 KINNOTORIKARA OOSUKANON,"Japan, 〒460-0011 Aichi, Nagoya, Naka Ward, Osu, 2 Chome−18−1 １Ｆ",mobile number exception occurred, 
鳥開 総本家 伏見店 torikai souhonke fusimiten,"Japan, 〒460-0003 Aichi, Nagoya, Naka Ward, Nishiki, 2 Chome−9−16 1・2階",mobile number exception occurred, 
韓国風旨辛最高＃ヤンニョムチキン。＠名古屋テラス,address exception occurred,mobile number exception occurred, 
コメダ珈琲店 桜通大津店 Komeda's Coffee Sakuradoriotsu,"3 Chome-19-30 Marunouchi, Naka Ward, Nagoya, Aichi 460-0002, Japan",mobile number exception occurred, 
風来坊名駅5丁目店 Furaibo Meieki 5 Chome,"5 Chome-23-12 Meieki, Nakamura Ward, Nagoya, Aichi 450-0002, Japan",mobile number exception occurred, 
韓まだん Hanmadang,"3 Chome-19-8 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
ほっともっと 紅雲町,"3-1 Kouncho, Kita Ward, Nagoya, Aichi 462-0857, Japan",mobile number exception occurred, 
Clair 名古屋栄店 Clair Nagoyasakaeten,address exception occurred,mobile number exception occurred, 
大分名物とり天専門店 かしわ 栄店,address exception occurred,mobile number exception occurred, 
うどん 杵屋 名古屋セントラルパーク店,"Japan, 〒460-0003 Aichi, Nagoya, Naka Ward, Nishiki, 3 Chome−15−13 セントラルパークB1F",mobile number exception occurred, 
ネーナ 栄 NENA SAKAE,"Japan, 〒460-0003 Aichi, Nagoya, Naka Ward, Nishiki, 3 Chome−18−18番8号 本重ビル 2F 愛知県",mobile number exception occurred, 
ニクノクニ nikunokuni,address exception occurred,mobile number exception occurred, 
カレーうどん千吉　栄 CurryUdon Senkichi SAKAE,"4 Chome-3-4 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
世界の山ちゃん 納屋橋店 Sekaino Yamachan Nayabashi,"1 Chome-18-25 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan",mobile number exception occurred, 
カレーハウス CoCo壱番屋 中区新栄 Curry House CoCo Ichibanya Nakaku Shinsakae,address exception occurred,mobile number exception occurred, 
カントンの思い出ペダルチキン　大須店,address exception occurred,mobile number exception occurred, 
新時沏(シンジキ) 大須店 Shinjiki,"Japan, 〒460-0011 Aichi, Nagoya, Naka Ward, Osu, 2 Chome−17−17 リアリービル 1F",mobile number exception occurred, 
魚介豚骨らー麺 一番舎 黒川店 Gyokaitonkotsu Ramen Ichibansya Kurokawaten,"3 Chome-40-1 Kurokawahontori, Kita Ward, Nagoya, Aichi 462-0841, Japan",mobile number exception occurred, 
ローソン 東区筒井一丁目,"1 Chome-13-2 Tsutsui, Higashi Ward, Nagoya, Aichi 461-0003, Japan",mobile number exception occurred, 
アースカラーラボナゴヤ EARTH COLOUR LAB NAGOYA,"1 Chome-3-24 Shinsakae, Naka Ward, Nagoya, Aichi 460-0007, Japan",mobile number exception occurred, 
ソロピッツァ ナポレターナ ダ ジェンナーロ矢場店 SOLO PIZZA Napoletana da Gennaro YABA,"3 Chome-32-8 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
琥珀 大須店 Kohaku Osuten,"2 Chome-12-12 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
なか卯 東新町店 Nakau Higashishinmachi,"1 Chome-1-番2号 Shinsakae, Naka Ward, Nagoya, Aichi 460-0007, Japan",mobile number exception occurred, 
御黒堂 名古屋スパイラルタワーズ店 GOKOKUDO Nagoya Spiral Towers,"Japan, 〒450-0002 Aichi, Nagoya, Nakamura Ward, Meieki, 4 Chome−27−1 モード学園スパイラルタワーズB1F",+81 52-756-4909, 
ねこねこ食パン 栄店 NEKO NEKO SHOKUPAN Sakae,"3 Chome-1-8 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",+81 80-4055-1148, 
漬け海鮮丼 まんぷく食堂 manpukusyokudou,address exception occurred,mobile number exception occurred, 
サワデーすみ芳 栄店 SAWADEE SUMIYOSHI SAKAE,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 3 Chome−9−30 柘植ビル 2F",mobile number exception occurred, 
パンチャ 栄店 Pancha Sakae,address exception occurred,mobile number exception occurred, 
ガツンと肉!スタミナ丼専門店 源-GEN- 栄店,address exception occurred,mobile number exception occurred, 
大戸屋ごはん処 広小路柳橋店 Ootoya Hirokoji Yanagibashi,"NMF名古屋柳橋ビル, B1F, 1 Chome-16-28 Meiekiminami, Nakamura Ward, Nagoya, Aichi 450-0003, Japan",mobile number exception occurred, 
アオキーズ・ピザ 栄店 Aoki's Pizza Sakae,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 1 Chome−30−23 林ビル・白川 1階",mobile number exception occurred, 
松屋 栄三丁目店 Matsuya Sakae３Chome,"3 Chome-13-11 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
すき家 浄心店 Sukiya Joushin,"1 Chome-1-50 Joshin, Nishi Ward, Nagoya, Aichi 451-0061, Japan",mobile number exception occurred, 
やきとん酒場 ぎんぶた 伏見長者町店 Yakitonsakaba Gin-buta Fushimi-Chojamachi,address exception occurred,mobile number exception occurred, 
レブレッソ矢場町店 LeBRESSO Yabacho,"3 Chome-5-1 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
焼鳥 しんちゃん 栄住吉店,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 3 Chome−1−１４ 大喜ビル 3F",mobile number exception occurred, 
蕎麦と天丼の店 はね天 大須万松寺通り店 HANETEN Osubanshojitori,"3 Chome-33-3 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
矢場とん 矢場町本店 Yabaton Yabacho Honten,"3 Chome-6-18 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
Mega Kebab 大須1号店 ハラール MEGAKEBAB OSU1GOUTEN HALAL,"3 Chome-30-35 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
フレッシュネスバーガー 矢場町店 Freshness Burger Yabacho,"3 Chome-32-32 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
がブリチキン。 栄店 Gaburi Chicken Sakae,"3 Chome-12-11 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
鉄板焼き屋のステーキ丼 teppanyakiyanosteakdon,address exception occurred,mobile number exception occurred, 
唐揚専門 名古屋 丸与商店 黒川店 Karaagesenmon Nagoya Maruyosyouten,"Japan, 〒462-0842 Aichi, Nagoya, Kita Ward, Shigaminamidori, 2 Chome−５３",mobile number exception occurred, 
雀おどり總本店 Suzumeodori Sohonten,"3 Chome-27-15 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
かっぱ寿司 水主町店　Kappa Sushi Kakomachi,"5 Chome-1-24 Meiekiminami, Nakamura Ward, Nagoya, Aichi 450-0003, Japan",mobile number exception occurred, 
Time to Tea 大須店 Osu,"3 Chome-22-18 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
パスタ・デ・ココ 中区新栄 PASTA DE COCO Nakaku Shinsakae,"Japan, 〒460-0007 Aichi, Nagoya, Naka Ward, Shinsakae, 3 Chome−2−7 ２Ｆ",mobile number exception occurred, 
肉汁餃子のダンダダン 大須観音店,"Japan, 〒460-0011 Aichi, Nagoya, Naka Ward, Osu, 2 Chome−1−3 落合ビル 1F",mobile number exception occurred, 
デニーズ 浄心店 Denny's JOUSHINN,"3 Chome-25-35 Kaminagoya, Nishi Ward, Nagoya, Aichi 451-0025, Japan",mobile number exception occurred, 
ファーストキッチン ヨシヅヤ名古屋名西店 First Kitchen Yoshiduya Meinishi,"2-33-8 Meisei, Nishi Ward, Nagoya, Aichi 451-0064, Japan",+81 52-528-3773, 
茶千歳 新栄店 Chasensai Shinsakae,"Japan, 〒460-0007 Aichi, Nagoya, Naka Ward, Shinsakae, 1 Chome−12−20 プリンセス瓦町 1Ｆ",mobile number exception occurred, 
お出汁にこだわった創作京茶漬け専門店 ところ 栄店,address exception occurred,mobile number exception occurred, 
街かど屋 秩父通店,"1 Chome-16-1 Chichibutori, Nishi Ward, Nagoya, Aichi 451-0024, Japan",mobile number exception occurred, 
サブウェイ 名駅地下街ユニモール店 Subway Meieki Chikagai Unimall,"4 Chome-5-26 Meieki, Nakamura Ward, Nagoya, Aichi 450-0002, Japan",mobile number exception occurred, 
串カツ田中 錦橋店 Kushikatsu Tanaka,"5 Chome-23-2 Meieki, Nakamura Ward, Nagoya, Aichi 450-0002, Japan",mobile number exception occurred, 
しゃぶ禅名古屋栄店 Shabuzen NagoyaSakae,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 3 Chome−1−8 東急REIホテルB1",+81 50-5303-9750, 
焼肉ホルモン 極 yakiniku horumon kiwami,address exception occurred,mobile number exception occurred, 
魚河岸酒場FUKU浜金 栄住吉店 UogashiSakaba FUKU HAMAKIN SakaeSumiyoshi,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 3 Chome−9−2, Gems Sakae, 1F",+81 50-5456-0797, 
築地銀だこ 大須商店街店 Tsukiji Gindako Osu Shotengai,"Japan, 〒460-0011 Aichi, Nagoya, Naka Ward, Osu, 2 Chome−17−20 大須商店街店",mobile number exception occurred, 
吉野家 大津通栄店 Yoshinoya OTSUDORI-SAKAE,"3 Chome-27-7 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",+81 52-269-1691, 
肉あんかけ炒飯 大王 名古屋店 Nikuannkake cha-han daiou Nagoya,address exception occurred,mobile number exception occurred, 
ソロピッツァ ナポレターナ ダ ピッコロ大須本店 SOLO PIZZA Napoletana da Piccolo OSU,"3 Chome-36-44 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
クリスピーチキンアンドトマト 名古屋駅店 CRISPY CHICKEN n' TOMATO Nagoya Station,"2 Chome-20-31 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
名物！出汁の効いたカレーうどん 丸田町 亀一 Marutacho Kameichi,address exception occurred,mobile number exception occurred, 
長浜豚骨ラーメン 一番軒　浄心店,"2 Chome-5-6 Kaminagoya, Nishi Ward, Nagoya, Aichi 451-0025, Japan",mobile number exception occurred, 
すき家 中川山王駅前店 Sukiya Nakagawa Sanou Ekimae,"3 Chome-13-13-14 Sanno, Nakagawa Ward, Nagoya, Aichi 454-0011, Japan",mobile number exception occurred, 
大戸屋ごはん処 マックスバリュ千代田店 Ootoya Max Valu Chiyoda,address exception occurred,mobile number exception occurred, 
gram大須店 café&pancakes gram,"Japan, 〒460-0011 Aichi, Nagoya, Naka Ward, Osu, 3 Chome−14−43 第2アメ横ビル １F",+81 52-269-3015, 
つけ麺 総本山 吉宗 栄店 Yoshimune Sakae,address exception occurred,mobile number exception occurred, 
スープストック トーキョー セントラル店 Soup Stock Tokyo Central,address exception occurred,mobile number exception occurred, 
「博多うどん」と「揚げたて天ぷら」の店 一得庵 大須万松寺店 Ittokuan Osu Banshoji,"Japan, 〒460-0011 Aichi, Nagoya, Naka Ward, Osu, 3 Chome−30−40 万松寺ビル １F",+81 52-265-6855, 
